DogName,CollarID,x,y,Timestamp,DOP,State,Sex
Abel,27416,23.627226,-18.9286779,2018-11-24T03:00:38Z,4,Disperser,M
Abel,27416,23.6002168,-19.115614,2018-11-23T23:00:29Z,1.4,Disperser,M
Abel,27416,23.5998335,-19.1208894,2018-11-23T19:00:33Z,1,Disperser,M
Abel,27416,23.5799221,-19.1552269,2018-11-23T15:00:38Z,1,Disperser,M
Abel,27416,23.5798258,-19.1549699,2018-11-23T07:00:36Z,1,Disperser,M
Abel,27416,23.5696104,-19.1439894,2018-11-23T03:00:38Z,1,Disperser,M
Abel,27416,23.5697362,-19.143967,2018-11-22T23:00:36Z,1.2,Disperser,M
Abel,27416,23.555655,-19.1407487,2018-11-22T19:00:22Z,1.4,Resident,M
Abel,27416,23.5568258,-19.1481323,2018-11-22T15:00:39Z,1,Resident,M
Abel,27416,23.5571327,-19.1478308,2018-11-22T07:00:38Z,1.4,Resident,M
Abel,27416,23.5591934,-19.1163681,2018-11-22T03:00:40Z,1.2,Resident,M
Abel,27416,23.5939061,-19.1238894,2018-11-21T23:00:38Z,1.2,Resident,M
Abel,27416,23.5714741,-19.144871,2018-11-21T19:00:39Z,1.2,Resident,M
Abel,27416,23.588066,-19.1617785,2018-11-21T15:00:38Z,1.6,Resident,M
Abel,27416,23.5882861,-19.1615552,2018-11-21T07:00:39Z,1.2,Resident,M
Abel,27416,23.5964577,-19.1201031,2018-11-21T03:00:22Z,1.2,Resident,M
Abel,27416,23.5958784,-19.1196798,2018-11-20T23:00:37Z,1.2,Resident,M
Abel,27416,23.6037137,-19.1244019,2018-11-20T19:00:18Z,1,Resident,M
Abel,27416,23.6040659,-19.1319871,2018-11-20T17:00:23Z,1.2,Resident,M
Abel,27416,23.5764309,-19.1548313,2018-11-20T15:00:20Z,1.2,Resident,M
Abel,27416,23.5759436,-19.1552701,2018-11-20T09:00:39Z,1.2,Resident,M
Abel,27416,23.5759206,-19.15523,2018-11-20T07:00:18Z,2,Resident,M
Abel,27416,23.5751577,-19.1301946,2018-11-20T05:02:07Z,1,Resident,M
Abel,27416,23.5252678,-19.1177967,2018-11-20T03:00:24Z,2,Resident,M
Abel,27416,23.5395193,-19.1296787,2018-11-20T01:00:22Z,1.4,Resident,M
